($m),,,,31 D,ec 2024 30 J,un 2024 31 D,ec 2023
,,,,,,,
Gross,,,,,"436,684","430,912","422,152"
,,,,,,,
Less:,,,,,,,
,,,,,,,
ECL Stage 3 (S,P),,,,"2,393","2,355","2,347"
,,,,,,,
ECL Stage 1 &,2 (GP),,,,"3,697","3,720","3,642"
,,,,,,,
Net total,,,,,"430,594","424,837","416,163"
,,,,,,,
By business un,it,,,,,,
Consumer Bank,ing/Wealt,h Management,,,"132,831","131,658","131,772"
Institutional Ban,king,,,,"300,519","295,843","285,378"
Others,,,,,"3,334","3,411","5,002"
Total (Gross),,,,,"436,684","430,912","422,152"
,,,,,,,
By geography1,,,,,,,
Singapore,,,,,"196,076","191,643","193,044"
Hong Kong,,,,,"63,003","66,056","66,065"
Rest of Greater,China,,,,"57,530","61,439","59,468"
South and Sout,heast Asia,,,,"36,731","34,586","31,267"
,,,,,,,
Rest of the Worl,d,,,,"83,344","77,188","72,308"
,,,,,,,
Total (Gross),,,,,"436,684","430,912","422,152"
,,,,,,,
By industry,,,,,,,
,,,,,,,
Manufacturing,,,,,"42,934","44,090","42,402"
,,,,,,,
Building and co,nstruction,,,,"113,451","112,590","113,246"
,,,,,,,
Housing loans,,,,,"85,746","85,296","86,925"
,,,,,,,
General comme,rce,,,,"43,709","45,293","38,684"
,,,,,,,
"Transportation,",storage &,communications,,,"33,599","29,944","31,316"
,,,,,,,
Financial institut,"ions, inve",stment & holding,companies,,"39,641","38,182","35,786"
,,,,,,,
Professionals &,private ind,ividuals (excludi,ng housing loans),,"41,579","41,301","39,451"
,,,,,,,
Others,,,,,"36,025","34,216","34,342"
,,,,,,,
Total (Gross),,,,,"436,684","430,912","422,152"
,,,,,,,
By currency,,,,,,,
,,,,,,,
Singapore dollar,,,,,"166,474","162,527","163,933"
,,,,,,,
US dollar,,,,,"109,112","106,863","101,344"
,,,,,,,
Hong Kong dolla,r,,,,"45,403","47,681","46,923"
,,,,,,,
Chinese yuan,,,,,"21,696","20,998","21,368"
,,,,,,,
Others,,,,,"93,999","92,843","88,584"
,,,,,,,
Total (Gross),,,,,"436,684","430,912","422,152"
,,,,,,,
Notes:,,,,,,,
1 Loans by geog,raphy are de,termined according,"to the location where the borrower,",or the,issuing bank in the ca,se of bank backed exp,ort
"financing, is inc",orporated,,,,,,
,,,,,,,
Gross customer,loans ros,e 2% or $7 billion,from the Compa,red t,"o a year ago, gros",s customer loans w,ere 3%
previous half in,constant-c,urrency terms to,$437 billion. higher,in co,nstant-currency ter,ms from growth in,non-
The increase wa,s led by a,2% or $4 billion,increase in trade c,orpo,rate loans and trad,e loans. Housing a,nd
non-trade corpo,rate loans.,,other c,onsu,mer loans were litt,le changed.,
