raw,conf,x1,y1,x2,y2
1.1,0.9973151182399038,835,41,895,81
1.1,0.7665430307388306,1181,39,1243,81
1.1,0.7640337944030762,1531,39,1593,79
1.1,0.9998323429275144,2231,41,2291,79
1.0,0.9464716911315918,1879,59,1947,101
NPL ratio (%),0.8752976145971727,50,80,324,134
NPA (SSm),0.9994977611360729,50,270,274,326
"5,056",0.999997174462734,820,274,938,324
"5,221",0.9999966946544254,1162,274,1276,324
"5,077",0.6616949687945639,1504,274,1620,324
"4,680",0.7143129034923928,1846,274,1962,324
"5,036",0.9318554089942407,2188,274,2304,324
Not overdue,0.9993723447282522,51,383,303,427
36%,0.983633590608871,832,378,928,426
35%,0.9756826308919346,1175,379,1269,423
35%,0.9946224011901721,1517,379,1609,423
34%,0.9904446913295238,1856,374,1952,422
31%,0.9997677175001121,2199,369,2293,413
Within 90 days overdue,0.9192160516734966,48,464,532,520
7%,0.9644348796348309,842,468,916,516
6%,0.8781976777656988,1186,462,1258,510
8%,0.9987853754062693,1526,466,1600,514
7%,0.9876463844302759,1868,460,1942,508
11%,0.9989281884078416,2201,459,2293,503
More than 90 days overdue,0.9381200621306696,47,600,607,662
57%,0.9877210759144577,833,601,927,645
59%,0.9842099214239958,1174,596,1270,644
57%,0.9929412981139653,1517,603,1609,647
59%,0.5614476203918457,1859,599,1953,643
58%,0.9966894388198853,2201,603,2293,647
Dec 23,0.9217537607819816,804,760,952,809
Mar 24,0.6579451988247716,1151,763,1293,805
Jun 24,0.7038671641044295,1488,760,1636,810
24,1.0,1921,763,1977,805
Dec 24,0.9944758703993848,2175,763,2319,805
SP,0.9998664813948034,48,850,114,898
loans (bp),0.91252963964732,138,852,356,908
11,0.9999062666956338,857,855,905,895
10,0.9999991570631338,1191,853,1247,897
8,0.40031245051787917,1554,856,1582,894
14,0.704617603085746,1877,853,1933,895
20,0.9999996628252286,2217,853,2273,897
Total allowances as % of:,0.7125357198273872,46,938,572,988
NPA,0.9999514093442825,51,1013,141,1055
128,0.9999988987918347,843,1009,921,1053
125,0.6764122247695923,1179,1011,1259,1053
129,0.9632529191895874,1527,1009,1607,1053
135,0.9999980728858172,1865,1011,1945,1053
129,0.9415723310580093,2205,1009,2285,1053
Unsecured NPA,0.7654305646538407,49,1081,373,1125
226,0.9999985546643163,843,1077,923,1121
223,0.8280933499336243,1179,1077,1259,1121
227,0.9999999311744849,1527,1077,1605,1121
242,0.9999998623489704,1863,1079,1943,1121
226,0.9999991052683532,2205,1077,2285,1121
Sep,0.999984789576592,1833,755,1915,817
