raw,conf,x1,y1,x2,y2
(SSbn),0.9982197946035305,55,57,203,117
562,0.9999931862770842,387,63,467,107
+7,0.9999475697230336,1133,69,1185,105
+14,0.9096953272819519,685,197,767,239
In constant-currencY terms,0.7685105794413069,1790,183,2347,234
FD and,0.9998812509630038,59,275,209,319
+10,0.9999702674365611,1453,257,1533,299
4Q deposits stable QoQ,0.7201834927256715,1836,271,2328,327
others,0.998219453798149,57,326,194,370
271,0.6109927296638489,387,301,463,345
+14,0.9999947004371946,1119,313,1199,357
+1,0.9996892232851062,1467,327,1517,365
as SGD Casa growth,0.9040642577554451,1836,327,2265,382
+20,0.9999675144274189,871,369,953,413
+3,0.9999747119845447,1297,389,1353,431
offsets decline in FCY,0.9996304322456745,1834,384,2290,432
+1,0.9999431865209151,1635,409,1685,447
+43,0.9999878178937133,687,423,767,465
+18,0.9999757734578919,871,489,953,533
+10,0.9056982398033142,1453,467,1533,511
FY deposits up 4% from,0.7321678787206578,1836,474,2328,526
+5,0.9999758077946654,1301,505,1355,545
+5,0.999915875926792,1633,529,1689,569
FD in 1H and Casa in 2H,0.687405357180686,1837,531,2333,575
+3,0.9999937622721186,1133,561,1187,601
FCY Casa,0.7153499770747639,59,579,263,623
122,0.8211086556775872,387,577,467,621
+5,0.999960550777704,915,583,971,625
+1,0.999962910974765,1301,589,1351,627
22,0.48670555818427763,859,611,905,651
22,0.4772753943900472,1637,635,1683,675
FY SGD Casa inflow of,0.9957510827718112,1836,616,2306,664
-10,0.9978433847427368,693,643,761,685
3,0.8724148177943789,1303,651,1349,691
22,0.6777554578179582,1637,697,1683,737
S5bn compared to S19bn,0.5800740602543326,1834,672,2346,729
-11,0.9938154984355165,1127,753,1189,793
outflow in previous year,0.8579227636627699,1833,724,2337,785
SGD Casa,0.778498129479208,56,775,274,825
169,0.9997963309288025,387,783,467,825
-19,0.913428277344739,693,765,761,807
As at Dec 24,0.8836948296828679,296,940,560,989
FY23,0.7252163257458891,671,932,784,982
FY24,0.9958299398422241,859,935,969,979
1Q24,0.9255989343505623,1103,943,1215,987
2024,0.9395111799240112,1268,943,1382,987
3024,0.9512205719947815,1436,943,1550,987
4Q24,0.8935914039611816,1603,943,1717,987
