raw,conf,x1,y1,x2,y2
924,0.9999998623489704,1945,25,2027,69
(SSm),0.9997397800581924,38,45,172,105
"3,237",0.8850719697395069,840,52,956,104
859,0.9999924291971442,1469,63,1549,107
750,0.9999896761798278,1707,127,1787,169
"2,649",0.9999264290998573,520,144,638,196
704,0.9999998623489704,2185,153,2265,197
564,0.999983549118042,1233,233,1313,277
593,0.9999997246979434,1946,240,2028,288
CBG and IBG,0.9723597105118211,42,266,320,314
"2,315",0.5590829895883577,840,280,958,330
613,0.9999960769466525,1469,285,1551,329
treasury,0.9657431066966322,35,316,222,376
"1,924",0.9999977608950742,522,340,638,392
563,0.9999995182214076,1708,332,1790,380
customer income,0.9998582808281821,40,371,404,420
546,0.9681777358055115,2185,357,2265,401
451,0.9999984858388146,1233,411,1307,453
Markets trading,0.9992236107505967,44,512,368,566
922,0.9999978664093272,857,533,939,577
246,0.9875019788742065,1471,533,1551,577
331,0.9973216652870178,1947,511,2021,553
income,0.9993535580896883,41,565,199,609
725,0.9999986234898187,539,549,619,593
113,0.8221219778060913,1233,575,1311,617
187,0.9999980728858172,1709,551,1787,595
158,0.9998356464787747,2185,561,2263,605
FY23,0.998772919178009,525,647,635,691
FY24,0.9975559115409851,845,647,955,691
4023,0.5362474918365479,1215,647,1329,691
1Q24,0.9951485395431519,1454,646,1566,690
2024,0.8456347584724426,1690,644,1806,692
3024,0.8175126910209656,1928,644,2044,692
4Q24,0.7628723589971192,2169,647,2281,691
YoY (%,0.8210052091705811,52,678,206,726
CBG and IBG,0.9964507855670389,52,758,330,806
treasury,0.9942027469915523,48,809,231,864
13,0.9914263901598918,549,805,603,849
20,0.9999997471189183,877,805,931,849
19,0.979600542641685,1237,805,1291,849
22,0.9280216033967378,1475,805,1531,849
18,0.9999952510409473,1715,805,1771,849
20,0.9999996628252286,1961,805,2017,849
21,1.0,2197,805,2249,847
customer income,0.7339477513684056,53,863,413,907
Markets trading,0.9950169745871131,53,942,380,1002
(38),0.9999883770942688,538,952,626,1006
27,0.9999984858388146,875,955,929,997
(45),0.9999651908874512,1228,954,1314,1004
(9),0.9999075679051405,1480,952,1534,1000
99,0.9999991570631338,1961,953,2015,997
40,0.9999995785315409,2199,955,2253,997
income,0.999865677083714,51,997,210,1045
