raw,conf,x1,y1,x2,y2
(SSm),0.9999557509119967,48,60,180,116
"7,873",0.999220529888217,1026,64,1142,114
"2,156",0.999963001380803,1992,64,2110,114
"2,052",0.9844028631128914,1582,94,1700,144
"1,888",0.9999962681581283,1788,140,1904,190
"6,538",0.9188840395334492,694,168,812,218
"1,541",0.9999923230663622,1026,170,1138,220
388,0.507552981376648,1601,195,1681,239
530,0.9999986923153217,2013,187,2091,231
"1,777",0.999988537909022,2198,170,2313,223
Markets trading,0.9370548462993746,166,250,496,312
"1,573",0.9998623676273414,1378,230,1494,280
362,0.993509829044342,1807,239,1887,283
261,0.798431396484375,2217,255,2293,299
"1,369",0.9598473008263527,693,265,810,318
"2,164",0.9999508461795799,1026,314,1144,366
316,0.9999972469798912,1395,321,1477,365
621,0.9999991740938607,1601,339,1677,383
517,0.9999736398741442,2013,335,2091,379
478,1.0,1807,357,1887,401
548,0.9999991740938607,2217,371,2297,415
Other non-interest,0.9790858466707276,169,397,549,441
"1,785",0.9999740903210924,693,386,812,441
390,0.9999992429193688,1395,421,1475,465
income,0.9995374935659934,167,449,323,493
Net fee income,0.9958215378949888,168,580,480,628
"3,384",0.9950811504153925,694,590,812,642
"4,168",0.7341363150155227,1023,555,1146,615
"1,043",0.6304122167790959,1583,573,1700,626
"1,048",0.9642839747254253,1790,574,1904,624
"1,109",0.9823802562575102,1994,563,2111,619
968,0.9999993117448777,2214,584,2298,632
867,0.9999991740938607,1395,601,1473,645
FY23,0.9979062676429749,699,771,809,815
FY24,0.9967604875564575,1031,771,1141,815
4023,0.8070485451817458,1381,771,1491,815
1Q24,0.927922836533179,1584,768,1698,816
2024,0.8357927789270606,1791,771,1903,815
3024,0.71362831441321,1994,770,2108,818
4Q24,0.8309386968612671,2201,771,2313,815
Commercial book,0.9998572366850809,166,858,536,906
"5,169",0.9789834789178277,692,860,808,910
"6,332",0.9999964814062795,1028,860,1146,910
"1,257",0.6635667944712709,1372,860,1486,910
"1,664",0.7978719863087904,1582,860,1700,910
"1,526",0.9999937091798948,1792,860,1908,910
"1,626",0.6427768880745022,1994,860,2110,910
"1,516",0.7699305180838021,2198,860,2314,910
YoY (%),0.895249726079311,168,942,333,996
12,0.9502613395888995,723,951,779,993
22,0.9790673310880037,1059,951,1115,993
28,0.9992052316665649,1401,951,1457,993
30,0.9989030707460075,1613,951,1667,993
19,0.9073628019239744,1823,949,1877,993
21,0.7822187598609655,2023,951,2075,993
21,0.9536333680152893,2227,951,2279,993
