col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,,,,,
NPAs at star,t of period,"5,125","5,056","5,056","5,221","5,077"
,,,,,,
IBG and othe,rs,(173),(291),75,(152),(214)
,,,,,,
New NPAs,,588,739,317,191,452
,,,,,,
"Upgrades, se",ttlements and recoveries,(585),(775),(196),(308),(491)
,,,,,,
Write-offs,,(176),(255),(46),(35),(175)
,,,,,,
CBG / WM,,23,25,43,5,(23)
,,,,,,
Translation,,2,(110),47,3,(160)
,,,,,,
NPAs at end,of period,"4,977","4,680","5,221","5,077","4,680"
,,,,,,
Citi Taiwan,,326,-,-,-,-
,,,,,,
NPAs at end,of period incl Citi Taiwan,"5,303","4,680","5,221","5,077","4,680"
,,,,,,
NPL ratio (%,),1.2,1.0,1.1,1.1,1.0
,,,,,,
Q,uarterly movements may not sum up to nin,e months as the p,resentation is based on,the classification,in the respective,period
A,few new NPAs in 1Q24 were settled in 2Q,and 3Q,,,,
