raw,conf,x1,y1,x2,y2
DBS,0.8493249066822702,43,23,75,39
Enen,0.0009161399211734533,42,40,72,48
EReverydayEt},0.20972035049064464,58,60,257,101
FEW,0.13569886654098415,297,61,375,97
B,0.9915411108901004,394,66,424,92
Js,0.21472284364934538,115,115,141,131
eve,0.3281413700109276,143,149,177,165
Diis,0.2542274296283722,355,163,391,177
Wrer2mm2,0.010172332811694272,184,169,299,201
everyday_,0.6566013952202812,388,187,455,205
260Eir+,0.1399834732561654,168,191,299,224
Vist,0.3397166132926941,441,223,467,235
DBS,0.8869308644042059,261,227,301,247
1446,0.30664902925491333,257,245,299,261
LAevero#IBE t,0.02529460100267125,14,205,122,204
R+a,0.15203676380490252,69,208,126,223
Rr@M,0.3093320429325104,4,215,73,234
