raw,conf,x1,y1,x2,y2
90,0.9999671256164323,479,37,505,57
91,1.0,556,30,598,62
86,0.9999991570631338,372,56,400,80
87,0.9999978083645809,425,53,451,73
81,1.0,109,83,133,103
82,0.9999998314126102,163,79,189,99
82,0.9999994942378553,215,79,243,99
83,0.9077986185826619,266,72,296,96
84,0.9999996628252286,319,69,347,89
79,0.9999915706407035,58,98,86,122
2015+,0.725085202105186,51,175,93,193
2016,0.9999982118606567,107,177,141,193
2017,0.9999978542327881,161,177,195,193
2018,0.9999996423721313,213,177,247,193
2019,0.9999988675117493,267,177,301,193
2020,0.9999414086341858,321,177,355,193
2021,0.9999992847442627,373,177,407,193
2022,0.9999984502792358,425,177,459,193
2023,0.999998927116394,477,177,511,193
2024,0.978952230929312,551,173,599,193
