raw,conf,x1,y1,x2,y2
Commercial,0.9999924605260183,26,34,164,60
2.80,0.9823163445371156,281,33,321,53
2.81,0.8652750248662141,483,31,521,51
2.82,0.7434582933338988,559,27,599,47
2.83,0.5525118159327773,785,27,825,47
2.83,0.9738361849683963,861,29,901,49
2.76,0.9975891006540034,202,38,244,62
2.75,0.9998544454574585,635,43,675,63
2.77,0.7928717074276078,709,41,749,61
2.77,0.9096652715186649,937,43,977,63
book,0.9999393224716187,28,60,88,86
2.69,0.9999699592590332,407,57,447,77
2.15,0.5955653090318566,201,95,243,115
2.19,0.5819720432121052,559,95,599,115
Group,0.9470805940261707,24,114,103,147
2.13,0.5487880530395237,281,113,321,133
2.12,0.6230145249784286,404,116,448,140
2.16,0.7075708622563976,480,102,524,126
2.13,0.8221959951790655,635,115,675,135
2.14,0.7579283677779868,709,111,749,131
2.14,0.32605158735758594,785,113,825,133
2.11,0.8102364706671201,861,119,899,139
2.15,0.9878612160682678,937,107,977,127
Net interest income,0.9806097745028368,28,178,248,204
(SGD million),0.9822828608240117,26,205,180,238
"13,642",0.4599668798005903,192,220,254,244
"14,424",0.7316432719260368,270,206,332,230
"3,504",0.9723987229854176,552,218,606,242
"3,434",0.8853571425528474,628,224,682,248
"3,505",0.9629926466789682,702,222,756,246
"3,594",0.9999968012784963,778,214,832,238
"3,597",0.8186579504207777,854,214,908,238
"3,728",0.6327522186863803,930,212,984,236
"3,433",0.8282103924079678,476,226,528,250
"3,271",0.5922314735168885,400,240,450,264
Commercial,0.9750694965234554,26,344,162,370
"14,2861",0.2760751939095759,192,360,254,384
"15,043",0.9254046935007777,270,360,332,384
"3,384",0.9381575945665707,400,360,454,384
"3,581",0.6915330322801336,476,360,528,384
"3,684",0.9591752440865321,550,360,606,384
"3,637",0.9999956284136424,628,360,680,384
"3,647",0.9999974943349246,702,360,756,384
"3,769",0.9999577767789055,780,360,832,384
"3,796",0.8481208383881628,854,360,908,384
"3,831",0.6120962940347491,930,360,982,384
book,0.9999338388442993,27,369,88,397
Markets,0.9999964405047267,28,428,122,454
trading,0.9999981076106171,26,454,110,484
19,0.998287076321947,299,459,323,475
48,0.8421690564352705,501,459,523,477
480,0.939882234879451,563,457,599,477
203,0.9999463162910359,639,457,675,477
199,0.8310635790303263,867,457,903,477
2023,0.7655277126167016,198,492,248,516
2024,0.8836785731135386,276,492,326,516
1Q,0.9595107065841004,412,492,442,518
20,0.4305431212327399,486,492,518,516
3Q,0.5898789941098077,564,492,594,516
4Q,0.7026501823175912,641,495,671,515
1Q,0.7668110578562527,716,492,746,518
2Q,0.3831782578114782,790,492,822,516
3Q,0.27624139125352015,868,492,898,518
4Q,0.8290286314675456,938,492,970,518
2023,0.9999998211860657,513,525,563,545
2024,0.9999874716672125,823,525,871,545
