raw,conf,x1,y1,x2,y2
17%,0.48629178153422997,196,62,244,86
26%,0.9609990402247424,514,92,562,116
Fixed pay,0.868593015477591,890,82,978,110
Variable pay-cash and/ or shares,0.6974876764192723,892,111,1178,139
Senior,0.9999567835041877,118,152,188,178
Material risk,0.66729298367481,567,153,700,178
40%,0.9585569523100659,730,148,778,172
Variable pay-deferred shares and/ or deferred cash,0.8429212975697277,892,140,1334,171
46%,0.9534002204059743,6,162,52,186
(including retention awards),0.8925314917783809,889,164,1138,192
Management,0.9999861273423447,86,178,224,204
personnel,0.9999903837608581,579,177,686,204
Note:,0.9997084848862396,863,213,913,233
370,0.8838389253484289,224,238,272,262
We do not provide any other forms of fixed and variable,0.8630442096769353,862,232,1344,260
remuneration aside from those disclosed in this section:,0.8904241470458063,860,256,1340,282
34%,0.3970253448530026,550,268,596,292
