raw,conf,x1,y1,x2,y2
"Risk Limits, Triggers and Controls",0.8401062290567552,594,38,978,70
Credit Risk,0.864627888102614,164,140,292,168
Market Risk,0.9999078051109015,530,142,670,168
Liquidity Risk,0.9828223441742306,891,139,1053,175
"Operational, Technology &",0.6833956603554334,1189,119,1495,162
Reputational Risks,0.9990958145030436,1233,154,1452,186
Sector,0.9999669549919867,102,218,174,244
Business Unit,0.7005967993594824,474,218,618,244
Currency,0.9999388020002976,843,217,944,248
Country (transfer risk),0.9563538208202474,100,246,330,278
Entity/ Location,0.9198764988347399,471,244,637,282
Location,0.9998918066154691,843,246,938,277
"Environmental, Social and",0.632039829290251,101,277,370,307
Desk (where applicable),0.9973584659110352,474,278,722,310
Governance risks,0.9715321475967482,102,310,284,336
Manage concentration risk,0.8226857609263555,89,400,367,436
Manage market risk by using,0.9820836874718263,451,402,748,434
Manage through maintaining,0.9593195340121515,819,396,1124,437
Manage through policies,0.9376060438450631,1212,397,1472,437
by using triggers; limits and,0.6910013436304564,85,430,369,467
limits,0.9990629644432875,568,434,628,460
counterbalancing capacity to,0.9999379084520149,818,428,1119,465
and standards,0.9864378840458493,1264,434,1418,460
monitoring,0.947869625117251,170,466,288,496
meet liquidity risk exposure,0.9868132833812223,828,464,1114,496
