raw,conf,x1,y1,x2,y2
STRATEGY,0.9906578481266922,436,120,554,146
KEY BOARD,0.9996352400829782,422,428,578,458
PEOPLE &,0.5259986734773077,100,454,212,480
CULTURE,0.9993394858647279,102,478,210,504
ACTIVITIES IN,0.9336973186217159,408,464,592,496
TECHNOLOGY,0.999862097797102,762,476,920,502
2024,0.5871487828800274,466,502,534,532
FINANCIALS,0.9068694383297237,432,796,574,822
[,0.29284497148387345,305,155,196,321
1,0.30214704801443304,705,175,827,262
L,0.22193928396334073,658,195,806,309
1,0.6973479011808337,693,197,805,275
ESG,0.999043455475326,258,241,320,231
AND,0.9999660690980258,220,280,285,265
1,0.19924833697573607,196,655,335,758
RISK,0.9745595455169678,701,715,768,698
