raw,conf,x1,y1,x2,y2
Tham Sai,0.951391048179832,153,1239,271,1269
Anthony Lim,0.9994108986195607,454,1234,619,1273
Punita Lal,0.9927957552762912,765,1239,896,1269
Chng Kai,0.9387838870898494,1036,1235,1153,1274
Peter Seah,0.9998531299930312,1361,1239,1499,1269
Piyush Gupta,0.9998220107258254,1817,1239,1984,1271
Bonghan Cho,0.9966731895142912,2115,1239,2279,1271
Olivier Lim,0.9990728120941078,2428,1239,2567,1269
David Ho,0.9995824854853677,2742,1239,2857,1269
Judy Lee,0.9981679072329671,3011,1239,3122,1271
Independent Director,0.9023589012263656,132,1267,357,1295
Independent Director,0.7884923521135964,425,1267,647,1295
Independent Director,0.9781491386657507,718,1270,942,1297
Non-Executive Director,0.9993976017430611,1008,1267,1245,1292
Non-Executive Chairman,0.7915166027689213,1304,1267,1557,1295
Chief Executive Officer,0.7894084781058522,1783,1265,2018,1295
Independent Director,0.9050706903842856,2086,1270,2308,1295
Lead Independent Director,0.7719484737166696,2358,1267,2637,1295
Independent Director,0.9948120119631059,2685,1267,2912,1295
Independent Director,0.9999228398194644,2957,1270,3179,1297
choy,0.9743670225143433,271,1234,333,1273
Fong,0.9999728202819824,1150,1235,1214,1273
