col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,,,
NPAs at start of period,"5,056","5,036","5,221","5,077","4,680","5,036","4,861"
,,,,,,,
IBG and others,(77),(243),(152),(214),81,(146),(97)
,,,,,,,
New NPAs,417,345,191,452,338,159,244
,,,,,,,
"Upgrades, settlements and recoveries",(413),(391),(308),(491),(208),(236),(213)
,,,,,,,
Write-offs,(81),(197),(35),(175),(49),(69),(128)
,,,,,,,
CBG / WM,48,37,5,(23),101,19,18
,,,,,,,
Translation,50,(144),3,(160),174,(48),(96)
,,,,,,,
NPAs at end of period,"5,077","4,686","5,077","4,680","5,036","4,861","4,686"
,,,,,,,
NPL ratio (%),1.1,1.0,1.1,1.0,1.1,1.1,1.0
