raw,conf,x1,y1,x2,y2
STRATEGY,0.9993895155187624,390,136,508,162
PEOPLE &,0.6661292885185832,86,420,196,446
KEY BOARD,0.9968666501433744,366,412,544,444
CULTURE,0.9984870710124664,87,452,193,478
ACTIVITIES IN,0.7211890738169001,351,449,559,485
TECHNOLOGY,0.999808977242062,686,446,844,472
2022,0.933154308948497,415,485,495,521
FINANCIALS,0.6984163837925615,388,752,526,778
1,0.27178751587459615,280,163,175,326
1,0.5023142406146377,638,185,756,269
1,0.4709707650274595,618,209,730,289
L,0.24125466245486482,580,217,726,327
GOVERNANCE,0.9997527634277984,190,601,288,743
RISK,0.9982868432998657,636,680,701,665
