raw,conf,x1,y1,x2,y2
minislry 0r communications,0.2729815710491108,29,0,323,19
Jecona rermanen,0.28891569149694724,497,0,692,17
"and Information, Singapore",0.8439445978937882,28,19,316,52
Secretary,0.9999647137390111,497,18,604,50
"Cybersecurity; Prime Minister's Office,",0.5913883314537003,27,49,420,82
Second Permanen,0.9999721642434752,498,52,694,78
Singapore,0.6956539813344867,26,80,139,118
Secretary,0.9999901056044925,497,80,604,112
Info-Communications Media Development,0.7147924156046559,28,112,472,142
Deputy Chairman,0.8072148228758795,497,111,684,143
Authority (IMDA),0.994820314403924,30,144,208,176
Singapore Symphonia Company Limited,0.8719279718969734,26,172,445,208
Director,0.9946615513057473,498,173,590,199
Shell Gas & Power Development BV:,0.6971865029716234,28,202,406,235
Advisory Board,0.8383250499705419,495,199,661,240
