raw,conf,x1,y1,x2,y2
LTV band,0.9833315656956371,10,26,120,52
Singapore,0.7749031292857587,228,24,351,62
Rest of Greater China,0.9838807136026099,832,26,1078,52
South and Southeast Asia,0.9876755242597797,1130,26,1419,52
Up to S0%,0.5515179777101902,76,114,194,146
54.3%,0.7870580008374289,336,114,408,140
62.4%,0.5101891484511426,652,114,724,140
48.6%,0.6907451733939501,920,114,992,140
53.8%,0.9820545801314031,1234,114,1306,140
51% to 80%,0.6018346245065697,60,166,194,192
45.4%,0.6190158520465534,318,166,390,192
37.59,0.6743479941161311,600,166,672,192
49.9%,0.660019122056768,928,166,1000,192
44.5%,0.8019063295151426,1216,166,1288,192
81% to 100%,0.736265818020052,48,216,194,242
0.2%,0.7807720462074353,232,216,290,242
0.1%,0.9691784381866455,526,216,586,242
1.5%,0.6609685123184914,832,216,888,242
0.4%,0.6314447987264622,1128,216,1188,242
Partially,0.7928403207497584,94,260,194,290
0.1%,0.6726895042070503,232,272,290,298
0.0%,0.9868578314781189,526,272,586,298
0.0%,0.9881035186320173,830,272,888,298
1.3%,0.9627314776805977,1134,272,1192,298
Collateralised,0.9999941696010313,34,286,194,312
Kong,0.999958872795105,597,23,655,59
Hong,0.9996438026428223,533,21,592,59
