raw,conf,x1,y1,x2,y2
Capital Allocation,0.7424117909821818,682,45,886,78
Headroom,0.9999856278818782,100,152,220,178
Commercial Book,0.9922314731735742,565,147,764,174
Treasury Markets,0.8927331622226802,1065,147,1266,178
Operational Risk,0.9664428210413808,1320,152,1510,182
Consumer,0.9548198465028895,358,264,474,292
Institutional,0.9999788727503264,596,264,738,292
Central,0.9999843201673558,874,266,960,292
Treasury,0.9999862179411979,1112,264,1216,296
Banking,0.8870195605345373,368,296,466,328
Banking,0.7089375496725229,620,296,716,326
Operations,0.9999600027132997,854,296,980,326
Markets,0.9999986513004709,1118,296,1214,322
Credit Risk,0.9451886067178517,360,362,470,388
Credit Risk,0.8265867889884609,614,362,724,388
Credit Risk,0.9128297698479937,862,362,972,388
Credit Risk,0.8090875532403857,1112,364,1222,388
Market Risk,0.9631479621780533,858,444,978,470
Market Risk,0.6814875560513836,1106,444,1230,472
