raw,conf,x1,y1,x2,y2
Board of Directors,0.9899406276795917,333,31,583,70
Board Sustainability Committee,0.9869927360098424,245,82,671,127
Group Management Committee,0.9998294132500855,1068,75,1483,113
(chaired by the Group Chief Executive Officer),0.9964226408310192,242,124,670,155
Group Sustainability Council,0.9996944375531294,266,200,650,248
(chaired by the Chief Sustainability Officer),0.621966978246018,256,242,658,274
Institutional Banking,0.9999535390032713,30,358,214,384
Consumer,0.9998582559872847,266,360,354,378
Banking,0.9999902676994276,352,355,429,384
Treasury Markets,0.9999715785841924,491,359,646,384
Risk Management,0.9782035990250197,714,358,870,384
Local Sustainability Councils,0.7853541305220106,1091,403,1459,445
"(China, Hong Kong; India, Indonesia and Taiwan)",0.8717109778826642,1064,442,1482,473
Group,0.999939277397305,542,494,597,513
Technology &,0.9998824565267118,63,498,182,529
Strategic Marketing,0.8003997765928637,482,510,654,534
Operations,0.9912768764410655,74,522,174,546
Human Resource,0.9674403088072211,275,523,419,541
Communicationsl DBS,0.6925263224309288,477,529,663,549
Group Planning,0.9963970971508613,725,516,861,546
Foundation,0.9999966072407962,519,547,617,567
