raw,conf,x1,y1,x2,y2
(SSm),0.9999421029538809,32,22,166,78
"6,631",0.9998459663145737,498,30,610,82
"6,476",0.9999983473273739,792,48,910,98
"6,527",0.9999981873912962,1090,42,1204,92
"6,550",0.6340081336121486,1384,40,1500,92
"6,323",0.4649550449589807,1677,60,1796,115
GP,0.9999554011992565,37,281,103,323
"3,910",0.9999992536317571,498,284,616,336
"3,896",0.999997707583045,790,294,913,355
"3,927",0.9999991470077171,1088,296,1204,348
"3,981",0.9999995735038693,1384,296,1498,348
Allowance coverage,0.8002172980748555,1905,287,2322,342
"3,955",0.967414195624847,1678,320,1796,370
comfortably above,0.9971943671806294,1900,335,2293,399
100% and exceeds,0.8204621783369342,1904,399,2290,448
200% after considering,0.9486847980189372,1901,448,2380,513
collateral,0.9999932898697733,1902,512,2100,560
SP,0.9998733932146348,35,631,99,675
"2,721",0.7021305265502398,498,630,610,682
"2,580",0.9999860855526593,791,634,911,689
"2,600",0.9998835124463819,1088,636,1206,688
"2,569",0.9999945088606758,1384,636,1500,690
"2,368",0.8293440784058933,1678,648,1796,700
Sep 23,0.9964432388817367,478,822,629,882
Dec 23,0.9999541554604977,778,826,926,875
Mar 24,0.9999850105422423,1079,827,1221,871
Jun 24,0.9948164142761622,1371,829,1515,873
Sep 24,0.9999696316954376,1662,822,1815,882
Total allowance reserves as % of:,0.5308934054912997,80,898,768,946
NPA,0.9999806600552249,85,971,173,1013
125,0.9999995870469189,517,971,595,1015
128,0.9999986234898187,813,971,891,1015
125,0.9999989676173402,1109,971,1189,1015
129,0.9999997935234566,1405,971,1483,1015
135,0.9999957328192642,1699,971,1779,1015
Unsecured NPA,0.9958524741920136,83,1047,406,1097
216,0.9999997935234566,515,1049,595,1093
226,0.9931145310401917,813,1049,893,1093
223,0.8287221193313599,1109,1049,1189,1093
227,0.9999999311744849,1403,1049,1481,1093
242,0.9999997246979434,1699,1051,1777,1093
