raw,conf,x1,y1,x2,y2
(%),0.9992272671238356,74,52,150,104
18.8,0.9399275154229187,2063,55,2155,97
0.9,0.9999903644340618,2075,115,2143,157
0.7,0.9999589801055311,2075,167,2141,209
15.9,0.6023125058039133,783,243,875,287
16.1,0.9907358502134911,1103,229,1191,273
16.2,0.7224516705600443,1423,223,1515,267
16.2,0.6743030817083998,1743,223,1835,267
0.8,0.9999859596080614,1115,287,1183,331
0.9,0.9999900203069368,1435,283,1503,327
0.8,0.9999771499638592,1755,281,1823,323
Tier 2,0.996061324644672,75,313,197,357
1.1,0.9959732122187656,797,313,859,353
0.7,0.9999576036029147,1115,337,1181,379
0.6,0.9999509963938897,1435,333,1503,377
0.6,0.9999834818945785,1755,327,1823,369
Additional Tier 1,0.9232335142676369,77,369,411,413
0.7,0.9999543688227654,795,369,861,411
17.2,0.7328210825339044,2063,391,2155,435
14.6,0.505408902024439,1103,475,1195,519
14.7,0.49991576242727337,1423,471,1515,515
14.8,0.7735809774174183,1743,469,1835,513
Common Equity Tier 1,0.7741905361088671,75,491,533,551
14.1,0.8408114297044571,783,491,871,535
Sep 23,0.9919381137035781,750,658,903,718
Dec 23,0.989559217652706,1075,663,1219,707
Mar 24,0.999984718539317,1407,663,1547,707
Jun 24,0.9700514838338774,1735,663,1881,707
Sep 24,0.6543403511890011,2046,662,2194,716
RWA (SSbn),0.9894023006641808,76,746,328,802
372,0.9997908473014832,789,747,869,791
368,0.7322462927319372,1107,747,1185,791
378,0.7679057974753842,1435,747,1515,791
386,0.9999991740938607,1768,746,1850,794
338,0.6580637378631516,2079,747,2159,791
Leverage ratio (%),0.9839154238975624,75,814,454,870
6.4,0.9999955263428388,795,817,863,859
6.6,0.9999476239665379,1113,817,1181,859
6.5,0.9999830001170524,1441,817,1511,859
6.5,0.9999735022236008,1775,817,1843,859
6.8,0.6709647178649902,2085,817,2153,859
Fully phased-in,0.6145359980140074,69,956,391,1006
Common Equity Tier 1 (%),0.9980435599120921,69,1037,611,1097
15.2,0.7242046402505978,2075,1037,2165,1079
