raw,conf,x1,y1,x2,y2
175,0.9991908669471741,1091,51,1173,95
136,0.9618908166885376,451,219,529,263
49,0.9999220899231771,1103,207,1159,249
4Q,0.9648732821190005,71,355,137,399
38,0.9999998314126102,461,349,517,393
44,0.9999998314126102,1105,411,1159,451
30Q,0.3171619176864624,71,507,137,551
33,0.5761681199073792,461,505,517,549
54,0.9999989884757856,1745,511,1801,553
44,0.9999998314126102,1103,601,1159,643
20,0.39909391494345847,70,650,138,698
33,0.5761681199073792,461,649,517,693
54,0.5700668562973372,1745,747,1801,789
1Q,0.9148452641203232,70,788,138,836
33,0.9954709368771487,461,791,517,835
38,0.9999935992298111,1103,781,1159,823
2022,0.6872997842907729,436,908,542,956
2023,0.5504318309317529,1079,911,1183,955
2024,1.0,1721,911,1825,955
