raw,conf,x1,y1,x2,y2
576,0.9999986923153217,665,71,743,113
567,0.9999512434005737,1055,77,1133,121
579,0.999999449395897,1445,67,1523,111
583,0.9999991740938607,1835,63,1915,107
604,0.9999984858388146,2225,45,2305,89
(SSbn),0.9984815740989937,68,78,214,134
47,1.0,679,141,729,179
47,1.0,1069,149,1119,187
48,0.4204138517379761,1457,135,1511,177
48,0.6896818299337666,1847,133,1901,175
57,0.9723578537906805,2237,119,2289,161
Loans,0.9999921098181064,138,235,270,279
227,1.0,663,255,741,299
228,1.0,1053,263,1133,307
248,1.0,1443,263,1523,307
249,1.0,1833,259,1913,303
267,0.9999986234898187,2225,257,2303,301
Other funding,0.9999937180696111,137,300,430,361
FD and others,0.6515010070811528,138,374,432,422
Casa,0.9999718070030212,136,439,251,489
417,0.999999449395897,530,431,614,479
416,0.9999997935234566,923,435,1005,477
420,0.9999989676173402,1313,433,1393,477
416,0.9999997246979434,1703,435,1785,477
425,0.7415342330932617,2093,431,2175,475
302,0.9999973846308725,663,483,743,527
292,0.9872222542762756,1053,487,1133,531
284,0.9904002547264099,1443,491,1525,535
286,0.999999380570387,1834,488,1916,536
280,0.9973428320267755,2223,493,2305,537
Mar 23,0.6119133264237662,605,683,745,727
Jun 23,0.9999967879775886,964,682,1108,730
Sep 23,0.9972158098278066,1353,680,1504,737
Dec 23,0.9999386305040661,1724,682,1872,731
Mar 24,0.9999826258511251,2121,683,2263,727
HQLA (SSbn),0.9300293085891358,138,747,415,807
144,0.9993834495544434,635,753,715,795
149,0.9999944251353335,997,753,1077,795
146,0.8381556272506714,1391,751,1471,795
148,0.9988903999328613,1759,753,1839,795
151,0.9999911903392261,2151,751,2225,795
Ratios (%),0.8853065012138608,139,818,356,868
LDR,0.9992928504943848,140,886,238,934
79,0.9999996628252286,647,889,703,931
80,0.999992329282188,1007,889,1065,933
79,0.9999994942378553,1402,886,1458,934
78,0.9999998314126102,1769,889,1827,933
78,0.9999998314126102,2161,889,2219,933
LCR,0.9999730204467188,141,957,235,1001
147,0.9998794198036194,635,959,713,1001
146,0.9999058246612549,997,959,1077,1001
138,0.9999881620207366,1391,957,1471,1001
144,0.9995267391204834,1759,959,1839,1001
144,0.9999966963759913,2151,959,2231,1001
NSFR,0.6017900737441024,141,1025,265,1069
118,0.67168128490448,637,1027,713,1069
116,0.9999958016447406,999,1025,1077,1069
117,0.999908462625814,1393,1027,1469,1069
118,0.566697895526886,1761,1027,1837,1069
116,0.9999904332594886,2151,1025,2229,1069
