raw,conf,x1,y1,x2,y2
(SSm),0.9999451417589579,74,46,204,102
"2,156",0.7279277388154408,1268,66,1388,121
"2,224",0.9668320226486764,1874,50,1992,100
"2,052",0.9998996661936416,664,96,782,148
"1,888",0.9381164715505512,968,142,1084,194
401,0.9999997246979434,1895,153,1969,195
388,0.5851921522451045,683,197,763,241
530,0.9999992429193688,1289,189,1369,233
"1,777",0.8165502287973792,1572,170,1689,225
Of_which treasury,0.6727316129575702,2128,185,2455,236
Markets trading,0.9851175874269461,194,242,518,296
362,0.9999964210740566,985,239,1065,283
261,0.9999968340269625,1591,257,1667,301
customer sales,0.8998454795750567,2127,232,2411,282
548,0.999999449395897,1895,283,1973,327
+11% Yoy,0.9366428069414725,2129,301,2311,343
621,0.8322050638338331,682,334,760,382
517,0.5010097622871399,1289,333,1367,377
478,0.6578157544136047,985,355,1065,399
548,0.9995970129966736,1591,367,1671,411
+32% QoQ,0.9674390980814631,2129,367,2327,409
Other non-interest,0.9460150458871585,193,383,573,427
income,0.9993726996892888,191,435,349,479
Net fee income,0.9991256522691234,192,566,504,614
"1,043",0.475234846049669,665,563,782,616
"1,048",0.9999950952932005,968,564,1084,616
"1,109",0.999044421492421,1268,552,1387,607
968,0.999999449395897,1588,574,1672,622
"1,275",0.9998377413011331,1876,534,1994,584
1Q24,0.6591634154319763,666,756,780,804
2024,0.8721469640731812,969,756,1083,800
3024,0.9718939159022638,1270,754,1386,804
4Q24,0.8931946158409119,1575,757,1689,801
1Q25,0.9644442796707153,1879,756,1991,800
Commercial book,0.9946677378741607,192,844,560,892
"1,664",0.9999821937682789,668,846,784,896
"1,526",0.9999968545905313,960,846,1078,896
"1,626",0.9999780887335018,1276,841,1395,898
"1,516",0.9997557208253501,1572,843,1693,897
"1,823",0.9999930694352156,1878,846,1994,896
YoY (%),0.7954626813554285,192,930,356,980
30,0.9999991570631338,697,937,753,979
19,0.9454781241272808,991,935,1045,979
21,0.8160391422813024,1307,937,1359,979
21,1.0,1603,937,1657,979
10,0.999996628253784,1909,937,1963,979
