raw,conf,x1,y1,x2,y2
44,1.0,1589,25,1643,63
40,0.9999996628252286,901,97,955,137
39,0.9999995785315409,1243,105,1297,149
37,0.9999995785315409,555,139,609,179
37,0.6576709746209177,1929,137,1981,179
Cost,0.9998593330383301,29,185,136,235
income (%),0.9997215830084584,157,187,396,238
(SSm),0.99978749564296,27,377,161,437
"2,395",0.9996026649618914,1561,398,1681,453
"2,172",0.691034233573411,872,440,990,492
"2,249",0.9999979741431879,1218,420,1334,472
"2,214",0.9999984006393992,1908,446,2026,496
"2,079",0.8029284481196874,525,459,644,514
"1,444",0.7461903374557962,1564,608,1682,658
Staff expenses,0.8101238950036534,28,670,340,725
"1,333",0.6235530162571422,526,666,645,721
"1,395",0.8748195877665291,870,650,991,707
"1,422",0.7454670267238122,1217,636,1335,691
"1,452",0.8992864310456413,1909,649,2026,702
Other expenses,0.9563296775906578,30,918,358,973
746,0.9741862416267395,545,921,625,965
777,0.9999086856842041,891,919,969,961
827,0.9999998623489704,1235,913,1315,957
951,0.9999696480094156,1581,897,1657,941
762,0.9999995870469189,1927,919,2007,963
1Q24,0.9771348834037781,531,1053,641,1097
2024,0.712886152640999,874,1051,988,1099
3024,0.8814216256141663,1219,1053,1333,1097
4Q24,0.9225337505340576,1565,1053,1679,1097
1Q25,0.572525680065155,1910,1052,2024,1100
