raw,conf,x1,y1,x2,y2
"Marina Boulevard, Marina Bay Financial Centre Tower 3, Singapore 018982",0.8574726173356814,0,1,803,40
MIX,0.8213088324005026,1246,22,1286,46
(65) 6878 8888,0.8498466072798969,6,40,174,72
WWWdbs.com,0.7195415061368292,188,42,346,68
Co.,0.7402021459950596,362,42,402,68
No: 199901152M,0.6909447331181482,454,42,640,70
Paper from,0.6468438734478505,1229,51,1303,67
responsible sources,0.9740789726362145,1198,64,1331,84
FSC,0.9996203184127808,1128,72,1182,96
wfscorg,0.4670412121928083,1128,93,1183,107
"FSC"" C020316",0.9574759603869598,1198,84,1332,108
@dbs.sg,0.9867224127188209,0,111,100,146
@dbsbank,0.9871987020360091,196,116,322,142
DBS Bank,0.7214726935206212,420,116,536,142
#RecyclemoreWasteless,0.999967976596711,1106,118,1337,144
Reg:,0.7835410237312317,403,38,450,74
