raw,conf,x1,y1,x2,y2
Gross loans (SGD billion),0.942359179621561,44,0,328,30
Constant-currency change,0.9999733786435773,555,0,868,36
Citi TW,0.9979122164191823,118,62,204,88
422,0.9999995870469189,252,54,292,78
10,0.9999947737947846,328,70,358,94
Others,0.9999013995884444,120,92,206,118
+6,0.9967054553615684,779,103,807,123
CBG/ WM,0.6965971448992397,94,132,204,158
122,0.9997991010243517,252,126,294,150
+0,0.9997470439869011,909,221,937,241
Other IBG,0.9856617297643645,88,236,204,262
246,0.9861238598823547,250,242,294,266
-5,0.37076838373979865,653,233,675,253
CBG/ WM,0.8190964416505457,94,326,204,352
39,0.9999989884757856,256,334,288,358
As at Dec 23,0.9465365969402769,208,368,338,392
1Q,0.6491782999024757,518,368,550,394
20,0.6577944149063362,646,368,680,394
30,0.3533509947569843,776,368,810,394
4Q,0.5046233290126911,906,368,940,394
2023,0.9999982118606567,700,396,756,420
