raw,conf,x1,y1,x2,y2
23%,0.9289239048957825,194,72,244,96
26%,0.9601699731167243,510,84,558,108
Fixed pay,0.8004127889398645,871,111,964,140
41%,0.994837810162622,716,148,764,172
Variable pay-cash and/ or shares,0.8497159088901834,870,142,1178,170
43%,0.9709037508706132,0,162,46,186
Senior,0.9999769804548143,106,156,178,180
Material risk,0.7388824414276753,555,155,688,180
Management,0.9999947600690839,74,180,212,206
personnel,0.999952554139977,567,179,674,206
Variable pay-deferred shares and/ or deferred cash,0.9289169703029234,870,169,1346,201
(including retention awards),0.9952589718990371,869,194,1138,224
Note:,0.9999121413437125,843,235,895,255
34%,0.9674776269302726,198,258,246,282
33%,0.9615489293491082,532,264,580,288
We do not provide any other forms of fixed and variable,0.8404524629247554,842,254,1336,282
remuneration aside from those disclosed in this section,0.653590176449727,842,279,1330,306
